1;0100100;"CATALISADORES EM COLMEIA CERâMICA OU METáLICA PARA CONVERSãO CATALíTICA DE GASES DE ESCAPE DE VEíCULOS E OUTROS CATALISADORES";
2;0100200;"TUBOS E SEUS ACESSóRIOS (POR EXEMPLO, JUNTAS, COTOVELOS, FLANGES, UNIõES), DE PLáSTICOS";
3;0100300;"PROTETORES DE CAçAMBA";
4;0100400;"RESERVATóRIOS DE óLEO";
5;0100500;"FRISOS, DECALQUES, MOLDURAS E ACABAMENTOS";
6;0100600;"CORREIAS DE TRANSMISSãO DE BORRACHA VULCANIZADA, DE MATéRIAS TêXTEIS, MESMO IMPREGNADAS, REVESTIDAS OU RECOBERTAS, DE PLáSTICO, OU ESTRATIFICADAS COM PLáSTICO OU REFORçADAS COM METAL OU COM OUTRAS MATéRIAS";
7;0100700;"JUNTAS, GAXETAS E OUTROS ELEMENTOS COM FUNçãO SEMELHANTE DE VEDAçãO";
8;0100800;"PARTES DE VEíCULOS AUTOMóVEIS, TRATORES E MáQUINAS AUTOPROPULSADAS";
9;0100900;"TAPETES, REVESTIMENTOS, MESMO CONFECCIONADOS, BATENTES, BUCHAS E COXINS";
10;0101000;"TECIDOS IMPREGNADOS, REVESTIDOS, RECOBERTOS OU ESTRATIFICADOS, COM PLáSTICO";
11;0101100;"MANGUEIRAS E TUBOS SEMELHANTES, DE MATéRIAS TêXTEIS, MESMO COM REFORçO OU ACESSóRIOS DE OUTRAS MATéRIAS";
12;0101200;"ENCERADOS E TOLDOS";
13;0101300;"CAPACETES E ARTEFATOS DE USO SEMELHANTE, DE PROTEçãO, PARA USO EM MOTOCICLETAS, INCLUíDOS CICLOMOTORES";
14;0101400;"GUARNIçõES DE FRICçãO (POR EXEMPLO, PLACAS, ROLOS, TIRAS, SEGMENTOS, DISCOS, ANéIS, PASTILHAS), NãO MONTADAS, PARA FREIOS, EMBREAGENS OU QUALQUER OUTRO MECANISMO DE FRICçãO, à BASE DE AMIANTO, DE OUTRAS SUBSTâNCIAS MINERAIS OU DE CELULOSE, MESMO COMBINADAS COM TêXTEIS OU OUTRAS MATéRIAS";
15;0101500;"VIDROS DE DIMENSõES E FORMATOS QUE PERMITAM APLICAçãO AUTOMOTIVA";
16;0101600;"ESPELHOS RETROVISORES";
17;0101700;"LENTES DE FARóIS, LANTERNAS E OUTROS UTENSíLIOS";
18;0101800;"CILINDRO DE AçO PARA GNV (GáS NATURAL VEICULAR)";
19;0101900;"RECIPIENTES PARA GASES COMPRIMIDOS OU LIQUEFEITOS, DE FERRO FUNDIDO, FERRO OU AçO, EXCETO O DESCRITO NO ITEM 18.0";
20;0102000;"MOLAS E FOLHAS DE MOLAS, DE FERRO OU AçO";
21;0102100;"OBRAS MOLDADAS, DE FERRO FUNDIDO, FERRO OU AçO, EXCETO AS DO CóDIGO 7325.91.00";
22;0102200;"PESO DE CHUMBO PARA BALANCEAMENTO DE RODA";
23;0102300;"PESO PARA BALANCEAMENTO DE RODA E OUTROS UTENSíLIOS DE ESTANHO";
24;0102400;"FECHADURAS E PARTES DE FECHADURAS";
25;0102500;"CHAVES APRESENTADAS ISOLADAMENTE";
26;0102600;"DOBRADIçAS, GUARNIçõES, FERRAGENS E ARTIGOS SEMELHANTES DE METAIS COMUNS";
27;0102700;"TRIâNGULO DE SEGURANçA";
28;0102800;"MOTORES DE PISTãO ALTERNATIVO DOS TIPOS UTILIZADOS PARA PROPULSãO DE VEíCULOS DO CAPíTULO 87";
29;0102900;"MOTORES DOS TIPOS UTILIZADOS PARA PROPULSãO DE VEíCULOS AUTOMOTORES";
30;0103000;"PARTES RECONHECíVEIS COMO EXCLUSIVA OU PRINCIPALMENTE DESTINADAS AOS MOTORES DAS POSIçõES 8407 OU 8408";
31;0103100;"MOTORES HIDRáULICOS";
32;0103200;"BOMBAS PARA COMBUSTíVEIS, LUBRIFICANTES OU LíQUIDOS DE ARREFECIMENTO, PRóPRIAS PARA MOTORES DE IGNIçãO POR CENTELHA OU POR COMPRESSãO";
33;0103300;"BOMBAS DE VáCUO";
34;0103400;"COMPRESSORES E TURBOCOMPRESSORES DE AR";
35;0103500;"PARTES DAS BOMBAS, COMPRESSORES E TURBOCOMPRESSORES DOS CEST 01.032.00, 01.033.00 E 01.034.00";
36;0103600;"MáQUINAS E APARELHOS DE AR CONDICIONADO";
37;0103700;"APARELHOS PARA FILTRAR óLEOS MINERAIS NOS MOTORES DE IGNIçãO POR CENTELHA OU POR COMPRESSãO";
38;0103800;"FILTROS A VáCUO";
39;0103900;"PARTES DOS APARELHOS PARA FILTRAR OU DEPURAR LíQUIDOS OU GASES";
40;0104000;"EXTINTORES, MESMO CARREGADOS";
41;0104100;"FILTROS DE ENTRADA DE AR PARA MOTORES DE IGNIçãO POR CENTELHA OU POR COMPRESSãO";
42;0104200;"DEPURADORES POR CONVERSãO CATALíTICA DE GASES DE ESCAPE";
43;0104300;MACACOS;
44;0104400;"PARTES PARA MACACOS DO CEST 01.043.00";
45;0104500;"PARTES RECONHECíVEIS COMO EXCLUSIVA OU PRINCIPALMENTE DESTINADAS àS MáQUINAS AGRíCOLAS OU RODOVIáRIAS";
46;0104501;"PARTES RECONHECíVEIS COMO EXCLUSIVA OU PRINCIPALMENTE DESTINADAS àS MáQUINAS AGRíCOLAS OU RODOVIáRIAS";
47;0104600;"VáLVULAS REDUTORAS DE PRESSãO";
48;0104700;"VáLVULAS PARA TRANSMISSãO óLEO-HIDRáULICAS OU PNEUMáTICAS";
49;0104800;"VáLVULAS SOLENOIDES";
50;0104900;ROLAMENTOS;
51;0105000;"ÁRVORES DE TRANSMISSãO (INCLUíDAS AS áRVORES DE “CAMES” E VIRABREQUINS) E MANIVELAS; MANCAIS E “BRONZES”; ENGRENAGENS E RODAS DE FRICçãO; EIXOS DE ESFERAS OU DE ROLETES; REDUTORES, MULTIPLICADORES, CAIXAS DE TRANSMISSãO E VARIADORES DE VELOCIDADE, INCLUíDOS OS CONVERSORES DE TORQUE; VOLANTES E POLIAS, INCLUíDAS AS POLIAS PARA CADERNAIS; EMBREAGENS E DISPOSITIVOS DE ACOPLAMENTO, INCLUíDAS AS JUNTAS DE ARTICULAçãO";
52;0105100;"JUNTAS METALOPLáSTICAS; JOGOS OU SORTIDOS DE JUNTAS DE COMPOSIçõES DIFERENTES, APRESENTADOS EM BOLSAS, ENVELOPES OU EMBALAGENS SEMELHANTES; JUNTAS DE VEDAçãO MECâNICAS (SELOS MECâNICOS)";
53;0105200;"ACOPLAMENTOS, EMBREAGENS, VARIADORES DE VELOCIDADE E FREIOS, ELETROMAGNéTICOS";
54;0105300;"ACUMULADORES ELéTRICOS DE CHUMBO, DO TIPO UTILIZADO PARA O ARRANQUE DOS MOTORES DE PISTãO, EXCETO OS CLASSIFICADOS NO CEST 01.053.01";
55;0105301;"ACUMULADORES ELéTRICOS DE CHUMBO, DO TIPO UTILIZADO PARA O ARRANQUE DOS MOTORES DE PISTãO E DE CAPACIDADE INFERIOR OU IGUAL A 20 AH E TENSãO INFERIOR OU IGUAL A 12 V";
56;0105400;"APARELHOS E DISPOSITIVOS ELéTRICOS DE IGNIçãO OU DE ARRANQUE PARA MOTORES DE IGNIçãO POR CENTELHA OU POR COMPRESSãO (POR EXEMPLO, MAGNETOS, DíNAMOS-MAGNETOS, BOBINAS DE IGNIçãO, VELAS DE IGNIçãO OU DE AQUECIMENTO, MOTORES DE ARRANQUE); GERADORES (DíNAMOS E ALTERNADORES, POR EXEMPLO) E CONJUNTORES-DISJUNTORES UTILIZADOS COM ESTES MOTORES";
57;0105500;"APARELHOS ELéTRICOS DE ILUMINAçãO OU DE SINALIZAçãO (EXCETO OS DA POSIçãO 8539), LIMPADORES DE PARA-BRISAS, DEGELADORES E DESEMBAçADORES (DESEMBACIADORES) ELéTRICOS E SUAS PARTES";
58;0105600;"TELEFONES MóVEIS DO TIPO DOS UTILIZADOS EM VEíCULOS AUTOMóVEIS.";
59;0105700;"ALTO-FALANTES, AMPLIFICADORES ELéTRICOS DE AUDIOFREQUêNCIA E PARTES";
60;0105800;"APARELHOS ELéTRICOS DE AMPLIFICAçãO DE SOM PARA VEíCULOS AUTOMOTORES";
61;0105900;"APARELHOS DE REPRODUçãO DE SOM";
62;0106000;"APARELHOS TRANSMISSORES (EMISSORES) DE RADIOTELEFONIA OU RADIOTELEGRAFIA (RáDIO RECEPTOR/TRANSMISSOR)";
63;0106100;"APARELHOS RECEPTORES DE RADIODIFUSãO QUE Só FUNCIONEM COM FONTE EXTERNA DE ENERGIA COMBINADOS COM UM APARELHO DE GRAVAçãO OU DE REPRODUçãO DE SOM, DO TIPO UTILIZADO EM VEíCULOS AUTOMóVEIS";
64;0106200;"OUTROS APARELHOS RECEPTORES DE RADIODIFUSãO QUE Só FUNCIONEM COM FONTE EXTERNA DE ENERGIA, DO TIPO UTILIZADO EM VEíCULOS AUTOMóVEIS";
65;0106201;"OUTROS APARELHOS VIDEOFôNICOS DE GRAVAçãO OU DE REPRODUçãO, MESMO INCORPORANDO UM RECEPTOR DE SINAIS VIDEOFôNICOS, DOS TIPOS UTILIZADOS EXCLUSIVAMENTE EM VEíCULOS AUTOMOTORES";
66;0106300;ANTENAS;
67;0106400;"CIRCUITOS IMPRESSOS";
68;0106500;"INTERRUPTORES E SECCIONADORES E COMUTADORES";
69;0106600;"FUSíVEIS E CORTA-CIRCUITOS DE FUSíVEIS";
70;0106700;DISJUNTORES;
71;0106800;RELéS;
72;0106900;"PARTES RECONHECíVEIS COMO EXCLUSIVAS OU PRINCIPALMENTE DESTINADOS AOS APARELHOS DOS CEST 01.065.00, 01.066.00, 01.067.00 E 01.068.00";
73;0107000;"FARóIS E PROJETORES, EM UNIDADES SELADAS";
74;0107100;"LâMPADAS E TUBOS DE INCANDESCêNCIA, EXCETO DE RAIOS ULTRAVIOLETA OU INFRAVERMELHOS";
75;0107200;"CABOS COAXIAIS E OUTROS CONDUTORES ELéTRICOS COAXIAIS";
76;0107300;"JOGOS DE FIOS PARA VELAS DE IGNIçãO E OUTROS JOGOS DE FIOS";
77;0107400;"CARROçARIAS PARA OS VEíCULOS AUTOMóVEIS DAS POSIçõES 8701 A 8705, INCLUíDAS AS CABINAS";
78;0107500;"PARTES E ACESSóRIOS DOS VEíCULOS AUTOMóVEIS DAS POSIçõES 8701 A 8705";
79;0107600;"PARTE E ACESSóRIOS DE MOTOCICLETAS (INCLUíDOS OS CICLOMOTORES)";
80;0107700;"ENGATES PARA REBOQUES E SEMIRREBOQUES";
81;0107800;"MEDIDORES DE NíVEL; MEDIDORES DE VAZãO";
82;0107900;"APARELHOS PARA MEDIDA OU CONTROLE DA PRESSãO";
83;0108000;"CONTADORES, INDICADORES DE VELOCIDADE E TACôMETROS, SUAS PARTES E ACESSóRIOS";
84;0108100;AMPERíMETROS;
85;0108200;"APARELHOS DIGITAIS, DE USO EM VEíCULOS AUTOMóVEIS, PARA MEDIDA E INDICAçãO DE MúLTIPLAS GRANDEZAS TAIS COMO: VELOCIDADE MéDIA, CONSUMOS INSTANTâNEO E MéDIO E AUTONOMIA (COMPUTADOR DE BORDO)";
86;0108300;"CONTROLADORES ELETRôNICOS";
87;0108400;"RELóGIOS PARA PAINéIS DE INSTRUMENTOS E RELóGIOS SEMELHANTES";
88;0108500;"ASSENTOS E PARTES DE ASSENTOS";
89;0108600;ACENDEDORES;
90;0108700;"TUBOS DE BORRACHA VULCANIZADA NãO ENDURECIDA, MESMO PROVIDOS DE SEUS ACESSóRIOS";
91;0108800;"JUNTAS DE VEDAçãO DE CORTIçA NATURAL E DE AMIANTO";
92;0108900;"PAPEL-DIAGRAMA PARA TACóGRAFO, EM DISCO";
93;0109000;"FITAS, TIRAS, ADESIVOS, AUTOCOLANTES, DE PLáSTICO, REFLETORES, MESMO EM ROLOS; PLACAS METáLICAS COM PELíCULA DE PLáSTICO REFLETORA, PRóPRIAS PARA COLOCAçãO EM CARROCERIAS, PARA-CHOQUES DE VEíCULOS DE CARGA, MOTOCICLETAS, CICLOMOTORES, CAPACETES, BONéS DE AGENTES DE TRâNSITO E DE CONDUTORES DE VEíCULOS, ATUANDO COMO DISPOSITIVOS REFLETIVOS DE SEGURANçA RODOVIáRIOS";
94;0109100;"CILINDROS PNEUMáTICOS";
95;0109200;"BOMBA ELéTRICA DE LAVADOR DE PARA-BRISA";
96;0109300;"BOMBA DE ASSISTêNCIA DE DIREçãO HIDRáULICA";
97;0109400;MOTOVENTILADORES;
98;0109500;"FILTROS DE PóLEN DO AR-CONDICIONADO";
99;0109600;"“MáQUINA” DE VIDRO ELéTRICO DE PORTA";
100;0109700;"MOTOR DE LIMPADOR DE PARA-BRISA";
101;0109800;"BOBINAS DE REATâNCIA E DE AUTOINDUçãO";
102;0109900;"BATERIAS DE CHUMBO E DE NíQUEL-CáDMIO";
103;0110000;"APARELHOS DE SINALIZAçãO ACúSTICA (BUZINA)";
104;0110100;"INSTRUMENTOS PARA REGULAçãO DE GRANDEZAS NãO ELéTRICAS";
105;0110200;"ANALISADORES DE GASES OU DE FUMAçA (SONDA LAMBDA)";
106;0110300;"PERFILADOS DE BORRACHA VULCANIZADA NãO ENDURECIDA";
107;0110400;"ARTEFATOS DE PASTA DE FIBRA DE USO AUTOMOTIVO";
108;0110500;"TAPETES/CARPETES - NAILóN";
109;0110600;"TAPETES DE MATéRIAS TêXTEIS SINTéTICAS";
110;0110700;"FORRAçãO INTERIOR CAPACETE";
111;0110800;"OUTROS PARA-BRISAS";
112;0110900;"MOLDURA COM ESPELHO";
113;0111000;REVOGADO;
114;0111100;"CORRENTE TRANSMISSãO";
115;0111200;"OUTRAS CORRENTES DE TRANSMISSãO";
116;0111300;"CONDENSADOR TUBULAR METáLICO";
117;0111400;"TROCADORES DE CALOR";
118;0111500;"PARTES DE APARELHOS MECâNICOS DE PULVERIZAR OU DISPERSAR";
119;0111600;"MACACOS MANUAIS PARA VEíCULOS";
