1;"DEPOSITO MISS AMORA";1;
2;"DEPOSITO CD";;
3;"DEPOSITO CF AV";6;
4;"DEPOSITO SGO PTG SHOPP";7;
5;"DEPOSITO SPA I";8;
6;"DEPOSITO RIOS I";9;
7;"DEPOSITO SPA II";11;
9;"DEPOSITO CF SHOPP";3;
10;"DEPOSITO CF LSA";12;
11;"DEPOSITO SGO SHOPP BR";13;
12;"DEPOSITO AMA AVI";16;
13;"DEPOSITO AMA AVII";14;
15;"DEPOSITO SGO CAL";15;
17;"DEPOSITO AMA OPM";18;
18;"DEPOSITO CF CAL";4;
19;"DEPOSITO NI PEDREIRA SHOPP";5;
20;"DEPOSITO MDR SHOPP";17;
21;"DEPOSITO CF JP";2;
22;"DEPOSITO CAXIAS SHOPP";19;
23;"DEPOSITO E-COMMERCE";;
24;"DEPOSITO NI TOP SHOPP";20;
25;"DEPOSITO RIOS II";10;
26;"DEPOSITO ALFENAS";21;
27;"DEPOSITO ALCANTRA";23;
28;"CD CATALOGO";;
